first_name,middle_initial,last_name,animal,material,country
Sydel,P,Stroder,Pied kingfisher,Rubber,Czech Republic
Zorine,Y,Beet,Eastern boa constrictor,Aluminum,South Korea
Creigh,G,Fall,Great white pelican,Rubber,Sweden
Padgett,Y,Petrovykh,"Heron, striated",Plexiglass,Nigeria
Lanie,F,Fauguel,Blue-footed booby,Plexiglass,Philippines
Clair,T,Fripps,"Monkey, rhesus",Brass,China
Finlay,R,Peperell,"Rhinoceros, black",Brass,Uzbekistan
Alisa,C,Munden,Great kiskadee,Vinyl,Serbia
Kori,Y,Cronshaw,"Peacock, blue",Granite,Indonesia
Nicol,R,Demaine,Salmon pink bird eater tarantula,Aluminum,Moldova
Emanuel,I,Fishbie,White-headed vulture,Rubber,Estonia
Dicky,P,Calafato,Sportive lemur,Plastic,Thailand
Karlik,A,Clingoe,Indian tree pie,Granite,Mozambique
Milly,C,Bracey,Blue-tongued lizard,Glass,Nigeria
Paulina,G,Aldhouse,"Falcon, peregrine",Glass,Nigeria
Daron,V,Habgood,"Chickadee, black-capped",Rubber,Argentina
Melesa,H,Loche,Blue waxbill,Aluminum,Greece
Temple,V,Louedey,Blue-breasted cordon bleu,Granite,Philippines
Bess,G,Saltwell,Long-tailed jaeger,Granite,United States
Den,W,Amyes,"Brocket, red",Aluminum,Philippines
Natale,L,Emanuele,"Wapiti, elk,",Plastic,Guatemala
Dot,X,Radbone,Mississippi alligator,Glass,Finland
Leslie,P,Mennell,"Constrictor, eastern boa",Stone,China
Antonius,O,Dumpleton,Eastern fox squirrel,Plastic,Poland
Norina,E,Fevier,"Gorilla, western lowland",Wood,Chad
Edan,F,Tregaskis,African red-eyed bulbul,Aluminum,Indonesia
Alfredo,C,Plom,"Falcon, peregrine",Vinyl,United States
Katee,C,Crowden,Three-banded plover,Stone,Russia
Elane,E,Sproat,Sage grouse,Plexiglass,Indonesia
Hyacinthie,Q,Hasslocher,"White-eye, cape",Plexiglass,Colombia
Ava,V,Thurnham,Pale-throated three-toed sloth,Aluminum,Philippines
Sheridan,J,Bewshaw,Eurasian badger,Plastic,Colombia
Brig,O,Fielders,Great kiskadee,Plastic,Indonesia
Kinnie,M,Ledrane,Chital,Granite,Indonesia
Rubi,E,Bedrosian,Sarus crane,Brass,Poland
Diane-marie,Y,Dodgshon,"Fox, asian red",Glass,China
Joel,I,Clint,"Boar, wild",Glass,Israel
Aurel,L,Durrand,Western spotted skunk,Rubber,China
Mickie,Z,Apps,Dama wallaby,Aluminum,Russia
Joelynn,Q,Eede,"Bustard, denham's",Plastic,Paraguay
Melloney,V,Bielfeld,European stork,Granite,Brazil
Moll,E,Killik,South American puma,Vinyl,Armenia
Josefa,F,Halshaw,"Badger, european",Rubber,Brazil
Fedora,R,Scardafield,Brazilian tapir,Aluminum,Poland
Ernestus,C,Quodling,Mule deer,Glass,Brazil
Eirena,O,Hammell,American Virginia opossum,Wood,Serbia
Avigdor,A,Marunchak,"Deer, barasingha",Brass,Venezuela
Stevy,S,Charnick,Common boubou shrike,Vinyl,China
Consolata,V,Wride,Indian tree pie,Glass,Finland
Elliott,F,Ashall,Dromedary camel,Aluminum,Greece
Sibby,V,Sleet,White spoonbill,Stone,Palestinian Territory
Judon,S,Ingerith,"Boa, emerald green tree",Plexiglass,China
Kellie,T,Mary,Australian magpie,Wood,Indonesia
Leoine,P,Leonida,"Langur, gray",Glass,China
Dinny,L,Heephy,"Stork, greater adjutant",Granite,China
Shelbi,Y,Cawkill,"Cat, european wild",Stone,Mexico
Anatole,C,Connold,Four-spotted skimmer,Wood,China
Benjamen,C,Lunbech,"Marshbird, brown and yellow",Vinyl,Greece
Tatum,Z,Sanbrook,Guanaco,Granite,Indonesia
Barrie,R,Londesborough,"Duck, white-faced whistling",Plexiglass,Mongolia
Godfry,Z,Kropp,"Beaver, eurasian",Wood,Philippines
Reggie,F,Bullivent,"Blackbird, red-winged",Stone,Czech Republic
Royall,R,Carnachen,Asian false vampire bat,Stone,Philippines
Eden,D,Rule,"White-eye, cape",Brass,Sweden
Jillene,U,Eltone,"Raven, cape",Granite,New Zealand
Jackelyn,R,Dimmock,Butterfly (unidentified),Granite,Malaysia
Nedda,O,Sherland,Little heron,Wood,Guatemala
Jessie,R,Alabone,Nubian bee-eater,Plexiglass,Malaysia
Susann,N,MacGaffey,Purple moorhen,Steel,Afghanistan
Aylmar,S,Phillip,Knob-nosed goose,Rubber,United States
Drew,K,Lyal,"Monkey, black spider",Aluminum,Portugal
Carolee,Z,Woodyeare,"Seal, northern fur",Vinyl,China
Kirsti,U,Caze,"Bird, red-billed tropic",Plastic,France
Daveta,R,Roulston,"Bandicoot, southern brown",Steel,China
Maryellen,E,Stych,"Phalarope, grey",Wood,Indonesia
Drusie,N,Pindred,"Possum, western pygmy",Vinyl,Russia
Dwight,B,Deeprose,"Jacana, african",Glass,Indonesia
Gino,R,Parcall,"Grouse, greater sage",Stone,China
Mitzi,J,Sooley,Common goldeneye,Glass,Philippines
Dorolice,C,Jeanneau,Indian star tortoise,Wood,China
Alidia,C,Ortell,"Gull, herring",Brass,Croatia
Thaddeus,J,Carslaw,"Eagle, tawny",Rubber,Sweden
Wanids,O,Mabbot,Greater sage grouse,Wood,China
Marlo,R,Puddan,"Skink, african",Brass,Philippines
Tessy,J,Capewell,"Woodpecker, downy",Aluminum,Sudan
Zerk,W,Halahan,Red-capped cardinal,Glass,New Zealand
Juieta,N,Killich,Laughing dove,Steel,Indonesia
Perceval,T,Lowy,"Zebra, plains",Granite,Finland
Pietrek,X,Marin,Black-crowned crane,Vinyl,Brazil
Gunilla,F,Biset,"Jackal, asiatic",Brass,Morocco
Robinette,A,Bewfield,"Turkey, australian brush",Rubber,Czech Republic
Eugen,T,Ber,"Deer, savannah",Rubber,Poland
Darcy,Y,Millis,"Gecko, barking",Plexiglass,Indonesia
Jeanna,C,Grewar,Salmon pink bird eater tarantula,Plastic,Canada
Inigo,W,Petrozzi,Red-breasted cockatoo,Granite,China
Adolphus,K,Alner,Tammar wallaby,Stone,Indonesia
Sisile,D,Tonbye,"Screamer, crested",Stone,Poland
Melodee,G,Albion,Common long-nosed armadillo,Rubber,Albania
Arnie,B,Seebright,Gambel's quail,Glass,Portugal
Bili,Q,Sanja,Eastern dwarf mongoose,Aluminum,Philippines
Nessie,C,Smieton,Yellow-throated sandgrouse,Steel,Canada
Zonnya,J,Perello,Hawk-headed parrot,Brass,Ukraine
Anya,C,Davidovitch,Horned lark,Wood,Czech Republic
Leila,R,Franceschelli,Southern hairy-nosed wombat,Wood,Russia
Anderea,H,Impson,Frog (unidentified),Glass,France
Karolina,M,Janos,"Wallaby, dama",Aluminum,China
Timmy,P,Jerg,Brown lemur,Stone,China
Garik,J,Fashion,Jaguar,Brass,Philippines
Rochester,J,Matusevich,Malleefowl,Vinyl,Portugal
Theresina,A,Pock,Sloth bear,Wood,China
Pansy,I,Whelpton,"Wallaby, dama",Glass,China
Roshelle,K,Christaeas,Common turkey,Vinyl,Slovenia
Linnell,O,Wallach,"Kookaburra, laughing",Stone,China
Yvon,E,Papaminas,"Pigeon, feral rock",Aluminum,South Korea
Adria,P,Furzey,Horned rattlesnake,Plastic,Indonesia
Bellanca,Z,Wilton,"Screamer, southern",Wood,Russia
Veronique,Y,Adshead,Violet-crested turaco,Plexiglass,China
Di,D,Iacovaccio,"Starling, greater blue-eared",Aluminum,Russia
Kelcie,H,Allam,Western palm tanager (unidentified),Plexiglass,Tanzania
Shannon,D,Leese,"Marmot, yellow-bellied",Granite,Afghanistan
Vanessa,F,Neller,Peregrine falcon,Glass,Benin
Lazare,R,Maddox,Australian pelican,Brass,Italy
Mic,Q,Prentice,Blue racer,Steel,Latvia
Darrick,G,Waring,Canadian tiger swallowtail butterfly,Steel,Kenya
Vitia,I,Santus,Common seal,Brass,Syria
Amata,G,Renard,Dromedary camel,Vinyl,Argentina
Cheryl,K,Trundle,"Peccary, white-lipped",Glass,Sweden
Julina,G,Babar,"Squirrel, thirteen-lined",Brass,Poland
Erhart,A,Mobberley,"Siskin, yellow-rumped",Plexiglass,China
Madelon,C,Haughan,"Hornbill, southern ground",Vinyl,Philippines
Morena,L,Duffet,"Bulbul, african red-eyed",Vinyl,Indonesia
Terrell,P,Panniers,Fork-tailed drongo,Wood,Iran
Bertrando,G,Heindl,White-faced tree rat,Granite,Ecuador
Tatum,D,Gyorgy,White-faced whistling duck,Stone,France
Dorette,X,Ranscomb,Pied kingfisher,Brass,Russia
Coop,Z,Yushachkov,"Lemming, collared",Wood,Indonesia
Arlinda,F,Josephs,Amazon parrot (unidentified),Wood,Canada
Neil,R,Deighan,Galah,Vinyl,Ireland
Eddy,S,Cicchetto,Meerkat,Granite,China
Ansley,R,Whild,"Crane, sandhill",Plastic,Russia
Pedro,R,Erskine Sandys,Cape cobra,Brass,China
Craggie,F,Lum,"Crane, black-crowned",Rubber,France
Carmen,Y,Beyer,"Skua, great",Plastic,Egypt
Florinda,C,Gabbitas,Australian spiny anteater,Brass,Russia
Isidora,Q,Gunthorpe,"Turkey, australian brush",Plastic,Jamaica
Ruth,D,Andrey,"Dragon, frilled",Glass,China
Oliy,K,Hallut,"Tortoise, asian foreset",Stone,Thailand
Wayland,D,Thouless,"Jackal, golden",Vinyl,Indonesia
Thaddeus,T,Brockie,"Owl, burrowing",Glass,Nigeria
Allys,E,Morrice,"Monitor, water",Stone,Philippines
Sammy,K,Gouly,Greater sage grouse,Plexiglass,Brazil
Jermayne,R,Kniveton,Dassie,Vinyl,Indonesia
Taffy,Z,Younghusband,"Kangaroo, black-faced",Plexiglass,Portugal
Roanna,O,Leeves,American racer,Steel,China
Abe,Y,Darben,"Goose, canada",Plexiglass,China
Scotti,B,Bumphrey,Grant's gazelle,Brass,Vietnam
Maressa,M,Yoxall,"Kangaroo, red",Plexiglass,Indonesia
Gleda,R,Bradbury,Ground monitor (unidentified),Rubber,China
Marney,D,De Gogay,"Swan, trumpeter",Rubber,China
Marylou,W,Kupker,White-necked stork,Steel,Indonesia
Kenna,G,Hedau,"Wallaby, dama",Granite,Philippines
Janifer,P,Kluger,"Lion, african",Wood,China
Nealson,R,Durrell,Mexican beaded lizard,Steel,Ukraine
Sigfrid,H,Crewther,Azara's zorro,Stone,France
Abigale,Y,Stinton,Great cormorant,Stone,Norway
Emily,N,Larner,South American puma,Vinyl,China
Webb,L,Ollie,Tiger,Wood,Peru
Isador,L,Piller,"Squirrel, indian giant",Brass,Czech Republic
Jamima,I,McKeaney,"Civet, common palm",Granite,Czech Republic
Emmi,X,Bexon,"Snake, carpet",Vinyl,Philippines
Lynett,O,Gathercole,"Dog, african wild",Granite,Vietnam
Nikaniki,O,Sheers,Asian foreset tortoise,Steel,China
Alene,A,Willgrass,Indian porcupine,Rubber,Indonesia
Persis,H,Palk,"Sandpiper, spotted wood",Steel,Poland
Johann,C,Ralph,"Jacana, african",Glass,Indonesia
Min,Z,Risby,Agouti,Rubber,Brazil
Dermot,V,Maher,"Buffalo, wild water",Granite,Philippines
Roosevelt,X,Willman,Southern screamer,Vinyl,Nicaragua
Eduino,A,Isaaksohn,"Cat, tiger",Vinyl,Tunisia
Raeann,D,Abeles,"Lemming, arctic",Plexiglass,Mexico
Rebekkah,X,Soames,Southern screamer,Rubber,China
Devlin,U,Matevushev,Red-winged hawk (unidentified),Vinyl,China
Auberon,W,Farress,White-winged black tern,Granite,Peru
Sheilah,W,Stoneman,"Vulture, king",Aluminum,Indonesia
Giff,E,Kleiser,"Booby, blue-footed",Stone,France
Melina,K,Treher,Asian water buffalo,Aluminum,China
Rudd,O,Warn,Blacksmith plover,Plexiglass,Russia
Enrique,Z,Roxbee,"Capuchin, white-fronted",Brass,South Africa
Kaycee,W,Jahndel,African polecat,Steel,China
Britney,D,Guyet,"Finch, common melba",Rubber,South Africa
Barbi,H,Consadine,Barrows goldeneye,Granite,Indonesia
Ayn,O,Andrioni,African snake (unidentified),Steel,China
Abigale,V,Neem,Malabar squirrel,Brass,Philippines
Duffie,P,Dwyr,"Seal, harbor",Vinyl,Japan
Grover,F,McMorran,"Lemming, arctic",Plexiglass,Mongolia
Inigo,M,Gallgher,Great skua,Plastic,Ukraine
Cheslie,M,Symons,White-faced whistling duck,Stone,Portugal
Willdon,B,Natwick,White-necked raven,Glass,Canada
Sim,V,Hehir,Japanese macaque,Granite,Malta
Anastasia,S,Ludford,"Marmot, hoary",Steel,South Africa
Drucie,D,Penna,Common turkey,Vinyl,Finland
Hetti,P,Bortoluzzi,"Macaque, rhesus",Brass,Indonesia
Amelie,J,Rowberry,"Crane, black-crowned",Steel,China
Osgood,X,Ellingsworth,"Owl, burrowing",Plastic,Portugal
Row,H,Sanpher,Sulfur-crested cockatoo,Granite,Jamaica
Kaylil,H,Telfer,Grey phalarope,Glass,China
Anissa,Q,Badsworth,"Flycatcher, tyrant",Wood,Iceland
Druci,A,Waddilove,Nile crocodile,Glass,Philippines
Madeline,M,Hallewell,Fat-tailed dunnart,Brass,China
Leeland,W,Pirolini,Little brown bat,Glass,Honduras
Cecilius,V,Ielden,Red-headed woodpecker,Steel,China
Yul,C,Blaxton,Egyptian viper,Rubber,China
Nickola,B,Tuftin,"Wallaby, red-necked",Wood,Russia
Lorianna,J,Plewes,"Beaver, american",Vinyl,Philippines
Georgy,N,Laxton,Masked booby,Aluminum,South Sudan
Greta,S,Dilkes,Cereopsis goose,Vinyl,Nigeria
Elizabet,J,Plevin,Greater kudu,Plexiglass,Poland
Sayre,P,Tyrer,Red-shouldered glossy starling,Glass,Russia
Neill,A,Skelding,"Phalarope, red",Stone,China
Nicole,D,Roan,"Mongoose, javan gold-spotted",Granite,China
Yetta,Z,Mitchall,Worm snake (unidentified),Glass,Thailand
Ganny,D,Juckes,Kafue flats lechwe,Glass,Norway
Antonin,X,Macek,"Hen, sage",Plexiglass,Netherlands
Paulette,S,Brimmell,White spoonbill,Glass,China
Abelard,E,McSorley,"Seal, harbor",Vinyl,South Korea
Arny,Z,Wylie,"Darter, african",Stone,Serbia
Mariana,B,Steddall,Burmese black mountain tortoise,Aluminum,Poland
Brittan,C,Norcock,"Eagle, pallas's fish",Rubber,Argentina
Celia,U,Frodsam,Mexican beaded lizard,Granite,China
Adelbert,M,Parkman,"Bulbul, black-eyed",Stone,United States
Devondra,Y,Bambury,"Kookaburra, laughing",Rubber,Spain
Hamil,W,Freed,"Hyena, striped",Wood,Brazil
Ingunna,E,Domelaw,Indian leopard,Stone,China
Uta,T,Melley,Salmon pink bird eater tarantula,Wood,Poland
Jada,H,Hilley,Four-spotted skimmer,Wood,Japan
Meggi,D,Hawler,"Quoll, eastern",Rubber,Poland
Adi,U,Fishley,Brush-tailed bettong,Granite,Indonesia
Alphonso,D,Elcock,"Cormorant, large",Vinyl,Netherlands
Andeee,R,Balazin,Defassa waterbuck,Vinyl,Indonesia
Briano,D,Klimshuk,Common palm civet,Steel,China
Alfy,N,Thorburn,Komodo dragon,Steel,Russia
Carmelina,K,Kinworthy,"Kudu, greater",Steel,Bolivia
Marji,Y,Howford,Southern elephant seal,Brass,Slovenia
Jannelle,M,Murney,Gray heron,Granite,Indonesia
Abigail,G,Lukas,"Dove, rock",Brass,Spain
Cosette,C,Tregust,"Fox, savanna",Brass,Spain
Guenna,C,Chater,"Squirrel, pine",Plexiglass,France
Vivie,X,Blundan,Tiger cat,Steel,Philippines
Hestia,Q,Wedgwood,"Elephant, african",Plexiglass,Ecuador
Isadore,H,Abela,"Kiskadee, great",Steel,China
Frasco,K,Goford,Leopard,Stone,Guyana
Bianka,O,Costley,"Snake, western patch-nosed",Steel,Indonesia
Alexina,N,Rodenburgh,"Squirrel, uinta ground",Wood,Jamaica
Karole,G,Grassot,"Cat, african wild",Aluminum,Portugal
Erika,V,Timmermann,"Bustard, kori",Glass,Jordan
Letti,O,Munns,"Goat, mountain",Glass,Brazil
Emyle,F,Botley,Common rhea,Steel,Portugal
Sidney,Y,Ruppeli,"Skink, blue-tongued",Plastic,Ecuador
Nerta,Z,Santus,Bateleur eagle,Rubber,Indonesia
Berke,D,O'Concannon,Long-tailed jaeger,Brass,Ivory Coast
Sky,X,Rivaland,Madagascar hawk owl,Vinyl,France
Jenifer,I,Grocutt,"Turkey, australian brush",Glass,China
Gilemette,N,Basson,"Rhea, gray",Vinyl,China
Leisha,C,Wingeatt,Javanese cormorant,Steel,El Salvador
Sherry,X,Sanja,"Monitor, two-banded",Rubber,Finland
Lesley,A,Wildman,Brown hyena,Aluminum,Philippines
Abe,Z,Jean,"Squirrel, eurasian red",Rubber,Indonesia
Eleni,K,Hambric,"Cormorant, king",Steel,Czech Republic
Forrest,V,Reubbens,"Phascogale, brush-tailed",Stone,China
Tye,B,Birk,"Wallaby, river",Plastic,Thailand
Alfie,A,Ratray,"Oystercatcher, blackish",Brass,Mauritius
Neile,P,Brownstein,"Creeper, black-tailed tree",Wood,Indonesia
Erroll,H,Gerbi,Turtle (unidentified),Steel,Indonesia
Frances,A,Brownrigg,Vine snake (unidentified),Plexiglass,China
Lauren,K,Tothe,Secretary bird,Granite,China
Matilda,K,Silk,"Gull, kelp",Stone,Russia
Garwin,P,MacLise,Lappet-faced vulture,Rubber,Palestinian Territory
Paco,R,Colmer,Red-breasted cockatoo,Aluminum,Iran
Rebe,I,Devers,"Stork, openbill",Vinyl,Luxembourg
Myriam,A,Boyda,"Goose, andean",Vinyl,Portugal
Fernanda,C,Garden,African ground squirrel (unidentified),Brass,Ukraine
Adlai,T,Roose,"Stork, painted",Aluminum,United States
Steffane,H,Farra,Pied cormorant,Aluminum,Peru
Francesca,B,Larciere,Blacksmith plover,Stone,China
Glynnis,W,Doneld,Eastern white pelican,Plexiglass,France
Fletcher,X,Vawton,"Seal, harbor",Steel,Indonesia
Gusty,D,Gut,"Lizard, mexican beaded",Aluminum,China
Claudetta,S,Syme,"Dragon, ornate rock",Glass,Brazil
Dominique,C,Daveran,"Tortoise, desert",Plastic,China
Sharleen,Y,Pilbeam,"Tortoise, burmese black mountain",Steel,China
Margaret,C,McIlenna,Jungle kangaroo,Glass,Sri Lanka
Ronald,H,Harnes,"Bat, madagascar fruit",Wood,Japan
Cristal,P,Huckerby,Bee-eater (unidentified),Granite,Somalia
Hyacinthia,Y,Dewbury,"Eagle, bald",Aluminum,Japan
Maybelle,O,Dunnet,Native cat,Steel,Philippines
Roman,J,Paschek,Burchell's gonolek,Glass,Philippines
Russell,R,Fores,"Snake, eastern indigo",Wood,China
Margaux,X,Basini-Gazzi,"Chipmunk, least",Stone,Pakistan
Tami,B,Blakey,Javanese cormorant,Rubber,Syria
Margette,M,Tuison,"Gnu, brindled",Glass,China
Cathrine,N,Lucius,Sandhill crane,Glass,Indonesia
Francoise,S,Baison,Uinta ground squirrel,Wood,United States
Corette,U,Postians,Golden jackal,Granite,China
Clerc,Z,Blethyn,"Buffalo, african",Brass,China
Raimundo,P,Heinel,Native cat,Rubber,Brazil
Xena,E,Wavell,"Flicker, campo",Granite,Philippines
Malory,Q,MacRitchie,"Dog, african wild",Granite,Philippines
Robbin,Q,Tumpane,Griffon vulture,Steel,Jordan
Costa,H,Marven,Giant otter,Steel,Poland
Hirsch,I,Rops,Cape fox,Steel,Portugal
Jacky,R,Battey,"Cockatoo, roseate",Brass,South Africa
Kittie,L,Hulke,African snake (unidentified),Plastic,Czech Republic
Elijah,P,Joye,Greater roadrunner,Steel,Albania
Dusty,E,Keiley,"Magpie, australian",Stone,Czech Republic
Crissy,Y,Marcinkowski,American black bear,Plastic,Benin
Madonna,P,Ilyunin,"Eagle, white-bellied sea",Plastic,Peru
Ulrick,D,O'Halloran,White-browed sparrow weaver,Aluminum,Gambia
Sauncho,S,Guinnane,Savanna baboon,Steel,South Korea
Lizette,I,Mocquer,"Catfish, blue",Wood,Bosnia and Herzegovina
Jeno,Q,Hollingsby,Frog (unidentified),Granite,Afghanistan
Leicester,C,Oppery,Little grebe,Aluminum,Mali
Colline,W,Boffey,Mallard,Plastic,Russia
Gilbertina,W,Pyser,Stone sheep,Stone,China
Vickie,T,Raymont,Vine snake (unidentified),Granite,Philippines
Sidoney,Y,Burlingham,"Hornbill, yellow-billed",Brass,Serbia
Briant,V,Onians,Four-horned antelope,Plastic,Russia
Dionne,Q,Matschek,"Macaw, blue and yellow",Stone,Indonesia
Mufinella,J,Oliver,"Lemming, collared",Vinyl,China
Alysia,W,Du Fray,"Dolphin, common",Steel,Japan
Chilton,Z,Touhig,"Sifaka, verreaux's",Rubber,Norway
Eleen,U,Brunt,"Alligator, american",Granite,Russia
Everett,M,Simonaitis,"Racer, american",Wood,United States
Devonna,J,Guerrero,"Zorro, azara's",Wood,Bolivia
Willyt,V,Byrkmyr,"Crane, blue",Plastic,Thailand
Sean,J,Sheaf,"Dove, white-winged",Brass,France
Gae,Q,Petrillo,Swamp deer,Rubber,Ghana
Bernadina,U,Consterdine,"Bat, asian false vampire",Plexiglass,Nepal
Berni,B,Stive,"Tortoise, radiated",Stone,Philippines
Tadio,E,Shorton,Ring-tailed coatimundi,Glass,Brazil
Ed,A,Crouse,Lesser masked weaver,Granite,Portugal
Ezechiel,Z,Mitkin,Sockeye salmon,Rubber,Philippines
Maggee,J,Rubenov,Giraffe,Vinyl,Poland
Robert,X,Sommerlin,Yellow-necked spurfowl,Vinyl,China
Bethany,M,Hebbs,Small-clawed otter,Granite,China
Simona,K,Spikins,Margay,Steel,Poland
Kliment,C,Broxholme,Sage grouse,Aluminum,Philippines
Laverna,J,Squeers,White-winged tern,Steel,Russia
Cullan,W,Presnail,White-faced whistling duck,Granite,France
Aretha,V,Hacquoil,"Cormorant, flightless",Plexiglass,Peru
Zorina,E,Vanyashin,White-fronted bee-eater,Aluminum,El Salvador
Jocelin,F,Poschel,"Deer, white-tailed",Granite,Colombia
Zara,C,Jessel,"Turkey, common",Stone,Norway
Genevra,N,Bussetti,White-tailed jackrabbit,Granite,Armenia
Ariel,J,Larmet,"Bustard, stanley",Aluminum,Macedonia
Alicia,E,O'Shiel,"Squirrel, richardson's ground",Brass,Russia
Tobit,K,Keedy,"Cat, long-tailed spotted",Brass,North Korea
Giselbert,V,Gullis,"Fox, savanna",Steel,Greece
Lolly,D,Witherington,"Shark, blue",Wood,Indonesia
Shelden,V,Jerosch,"Bunting, crested",Rubber,United States
Florrie,U,MacGinlay,"Leopard, indian",Rubber,Nigeria
Chad,K,Tidmas,Burrowing owl,Rubber,China
Hulda,V,Pinches,Eagle owl (unidentified),Stone,Japan
Remington,A,Alexsandrov,Brush-tailed bettong,Stone,Pakistan
Gram,K,Haberjam,Asian water buffalo,Granite,Thailand
Becka,E,Grellier,"Hornbill, southern ground",Vinyl,Philippines
Adore,Z,Ivens,"Deer, barasingha",Wood,China
Janetta,U,Gostridge,"Bustard, denham's",Glass,China
Tracie,A,Casaroli,"Seal, southern elephant",Plastic,Russia
Alberik,J,Sherbourne,Magellanic penguin,Plexiglass,Bosnia and Herzegovina
Robyn,R,Trotter,"Bear, black",Aluminum,Poland
Eal,W,Pellington,Native cat,Brass,China
Milissent,L,Tommasuzzi,"Eagle, crowned",Glass,Greece
Jaynell,P,Artingstall,Coyote,Brass,Indonesia
Sloane,J,Buckthought,Scottish highland cow,Glass,Argentina
Flint,M,Burdytt,Tailless tenrec,Aluminum,Indonesia
Colette,F,Beaston,African elephant,Plastic,France
Gilli,R,Frow,Western patch-nosed snake,Stone,Sweden
Orelia,J,Shingles,Pied avocet,Aluminum,Russia
Xenos,P,Rummings,"Siskin, yellow-rumped",Plexiglass,Czech Republic
Marthe,E,Bails,Red-cheeked cordon bleu,Plastic,Hungary
Hyatt,B,Taggerty,Black bear,Vinyl,China
Carley,D,De Castri,"Baboon, yellow",Vinyl,Uganda
Etty,R,Filochov,"Phascogale, brush-tailed",Vinyl,Indonesia
Maybelle,G,Jocelyn,"Wallaby, bennett's",Granite,Portugal
Tracie,E,Gillbe,White-throated kingfisher,Rubber,Macedonia
Delinda,I,Worge,Tyrant flycatcher,Granite,China
Clim,J,Bodocs,"Duck, comb",Plexiglass,Sweden
Cammy,C,Seacombe,"Shelduck, common",Aluminum,Portugal
Vaughan,R,Pursehouse,Coqui francolin,Stone,Indonesia
Temple,Z,Jewer,"Vulture, white-rumped",Brass,Panama
Donella,K,Roakes,"Monkey, red howler",Brass,Czech Republic
Northrup,T,Taggert,"Quoll, eastern",Wood,Cuba
Bibbye,P,McGhee,"Gull, pacific",Rubber,Mongolia
Sidnee,C,Van der Beek,Roe deer,Aluminum,Indonesia
Erminia,V,Rowter,Little grebe,Stone,Peru
Sean,K,Bickerstasse,Cottonmouth,Rubber,Lithuania
Hedwiga,A,Kemston,"Rhea, gray",Granite,Malaysia
Corene,J,Bonnor,"Deer, barasingha",Granite,China
Avigdor,F,Emerine,Steenbuck,Granite,Kuwait
Dwayne,Y,Stopforth,Civet (unidentified),Vinyl,China
Ashly,O,Dellenbroker,"Hyena, brown",Vinyl,Philippines
Katey,R,Swinley,Barasingha deer,Brass,Serbia
Quintilla,H,Derrett,Eastern cottontail rabbit,Brass,Poland
Redford,K,Bergin,"Hoopoe, eurasian",Plexiglass,Philippines
Kippy,T,Lingley,South American meadowlark (unidentified),Plastic,Brazil
Albertina,Z,Willett,African black crake,Plexiglass,Philippines
Patricia,E,Dufer,"Crane, stanley",Glass,France
Felike,S,Siddon,"Godwit, hudsonian",Wood,China
Judy,M,Dellatorre,"Ibis, glossy",Stone,Albania
Astrix,N,Dugdale,"Dragon, komodo",Rubber,Norway
Belita,F,Del Monte,Spur-winged goose,Rubber,Serbia
Winnie,E,Bea,Coke's hartebeest,Vinyl,Greece
Bard,C,Kose,Frilled lizard,Stone,Yemen
Ashby,J,Lucks,"Porcupine, crested",Stone,Poland
Jessy,J,Bagnall,Little blue penguin,Plexiglass,Philippines
Tawnya,O,Davys,Green-backed heron,Plastic,Indonesia
Evania,A,Bosward,"Seal, southern elephant",Glass,Russia
Brew,V,Pillinger,"Bison, american",Plastic,Portugal
Natal,X,Stolle,African lion,Wood,Portugal
Francois,K,Pinnocke,Black-capped chickadee,Stone,Indonesia
Stephine,H,Chamberlain,"Dove, rock",Aluminum,Philippines
Willem,F,Harwood,Greylag goose,Brass,Philippines
Calley,J,Walcot,"Lizard, frilled",Brass,Portugal
Dane,O,Pettyfer,Secretary bird,Steel,Iraq
Deeann,U,Gajewski,Caracal,Vinyl,El Salvador
Hill,U,Torregiani,"Lechwe, kafue flats",Wood,China
Oswell,N,Reye,"Sandgrouse, yellow-throated",Brass,Ecuador
Randie,G,Harrisson,Southern tamandua,Vinyl,China
Bud,U,Novotni,"Stork, woolly-necked",Wood,Philippines
Belia,W,Dreelan,"Racer, american",Granite,Philippines
Danie,Z,McChesney,Guanaco,Vinyl,Indonesia
Victoir,R,Karpeev,"Flicker, field",Granite,Poland
Daphna,H,Mitkcov,"Lion, mountain",Steel,Brazil
Konstance,M,Claypole,Ovenbird,Plastic,China
Serge,G,Quadrio,"Eagle, crowned",Aluminum,Indonesia
Faythe,F,Carlson,Thomson's gazelle,Stone,Vietnam
Opaline,I,Aiton,"Possum, common brushtail",Plexiglass,Philippines
Ursa,A,Hobson,Numbat,Wood,United States
Cass,S,Carrane,Lizard (unidentified),Wood,China
Nelli,E,Twinbourne,"Hornbill, red-billed",Steel,China
Iormina,Z,Boribal,"Shelduck, european",Brass,Philippines
Isidor,B,Harmson,"Shrike, crimson-breasted",Glass,Greece
Hewett,J,Echalie,"Bulbul, african red-eyed",Plastic,China
Axe,R,Toma,"Stork, saddle-billed",Plexiglass,Croatia
Briana,C,Stanbra,Great kiskadee,Plastic,Japan
Tim,W,Threadgall,Western bearded dragon,Rubber,France
Jed,K,MacWhirter,Herring gull,Vinyl,Morocco
Fay,W,Markwick,American marten,Stone,China
